game_number	player_bankrupt	turn
582	Bob	41
584	Alice	25
584	Charly	36
584	Hero	58
585	Bob	81
585	Charly	85
585	Alice	92
586	Bob	45
586	Charly	59
586	Alice	71
588	Bob	41
588	Alice	43
588	Hero	60
589	Charly	40
589	Hero	47
589	Alice	51
591	Charly	23
591	Alice	26
591	Hero	32
590	Alice	72
590	Charly	73
590	Hero	127
594	Charly	31
594	Alice	37
594	Hero	43
595	Charly	35
595	Alice	37
595	Bob	41
596	Hero	31
596	Charly	53
596	Alice	57
599	Hero	35
599	Alice	36
599	Bob	39
1
600	Alice	37
600	Bob	38
600	Hero	51
601	Alice	27
601	Charly	40
601	Hero	52
605	Hero	29
605	Alice	34
605	Charly	39
607	Charly	35
607	Hero	46
607	Alice	59
608	Bob	32
608	Charly	39
608	Hero	47
609	Hero	25
609	Bob	29
609	Charly	50
611	Bob	35
611	Hero	38
611	Alice	42
612	Charly	60
612	Hero	62
612	Bob	73
613	Bob	23
613	Charly	28
613	Hero	52
614	Bob	42
614	Charly	51
614	Alice	60
615	Bob	32
615	Hero	35
615	Charly	40
616	Charly	32
616	Alice	34
616	Hero	39
618	Charly	36
618	Hero	43
618	Alice	51
623	Hero	25
623	Bob	30
623	Charly	39
622	Hero	30
622	Charly	50
622	Bob	65
625	Hero	37
625	Alice	54
625	Charly	57
624	Alice	61
624	Charly	67
624	Bob	70
626	Charly	47
626	Alice	58
626	Bob	63
627	Alice	42
627	Charly	43
627	Bob	50
629	Bob	44
629	Hero	52
629	Alice	55
620	Alice	81
620	Charly	444
630	Bob	68
630	Charly	72
630	Hero	112
633	Alice	26
633	Bob	29
633	Hero	29
632	Alice	78
632	Charly	89
632	Hero	97
634	Hero	26
634	Alice	27
634	Bob	32
635	Alice	25
635	Bob	38
635	Charly	46
637	Hero	38
637	Alice	42
637	Charly	55
638	Alice	55
638	Charly	78
638	Bob	113
636	Charly	79
636	Alice	88
636	Bob	163
640	Bob	36
640	Charly	40
640	Alice	48
641	Charly	41
641	Alice	43
641	Hero	50
643	Charly	35
643	Hero	46
643	Bob	49
644	Charly	35
644	Alice	41
644	Hero	52
645	Bob	21
645	Charly	29
645	Hero	43
647	Bob	38
647	Hero	42
647	Alice	57
649	Charly	25
649	Bob	32
649	Hero	41
650	Bob	40
650	Hero	59
650	Charly	71
642	Charly	305
642	Bob	353
653	Charly	40
653	Bob	46
653	Hero	48
654	Alice	30
654	Bob	40
654	Hero	46
655	Charly	20
655	Alice	21
655	Hero	30
656	Bob	70
656	Charly	77
656	Alice	77
657	Bob	33
657	Charly	36
657	Alice	43
658	Charly	36
658	Alice	60
658	Bob	65
660	Bob	30
660	Charly	34
660	Alice	41
661	Alice	52
661	Hero	89
661	Bob	103
663	Alice	52
663	Hero	52
663	Bob	54
665	Hero	48
665	Alice	55
665	Charly	69
664	Bob	46
664	Alice	49
664	Charly	98
666	Bob	37
666	Hero	39
666	Alice	55
667	Bob	40
667	Hero	49
667	Alice	74
668	Hero	26
668	Bob	30
668	Charly	32
670	Alice	43
670	Hero	49
670	Bob	49
671	Alice	46
671	Charly	51
671	Bob	53
673	Charly	32
673	Alice	41
673	Bob	58
675	Hero	36
675	Alice	43
675	Bob	62
677	Alice	39
677	Bob	65
677	Charly	72
678	Charly	30
678	Hero	51
678	Bob	56
680	Alice	44
680	Charly	58
680	Bob	60
682	Charly	51
682	Bob	69
682	Hero	88
683	Charly	52
683	Alice	63
683	Hero	63
684	Alice	28
684	Hero	48
684	Bob	56
681	Charly	186
681	Hero	199
681	Bob	201
687	Hero	35
687	Alice	41
687	Bob	45
689	Alice	50
689	Hero	55
689	Bob	60
690	Bob	74
690	Hero	80
690	Charly	87
691	Charly	46
691	Bob	54
691	Hero	56
688	Alice	102
688	Hero	144
688	Charly	199
692	Hero	58
692	Alice	63
692	Bob	77
694	Hero	49
694	Charly	53
694	Bob	55
693	Charly	91
693	Hero	100
693	Alice	105
697	Bob	25
697	Hero	26
697	Charly	32
700	Charly	27
700	Alice	40
700	Bob	73
702	Charly	39
702	Bob	41
702	Hero	56
704	Hero	45
704	Alice	45
704	Bob	66
705	Alice	26
705	Bob	30
705	Hero	39
703	Bob	143
703	Hero	146
703	Alice	152
707	Bob	20
707	Hero	26
707	Alice	47
706	Bob	50
706	Alice	65
706	Hero	78
710	Charly	43
710	Hero	47
710	Alice	59
708	Alice	70
708	Bob	77
708	Charly	100
712	Charly	35
712	Alice	53
712	Bob	68
714	Bob	22
714	Charly	37
714	Hero	48
715	Charly	42
715	Alice	53
715	Bob	57
716	Charly	34
716	Bob	40
716	Alice	62
718	Hero	59
718	Charly	63
718	Alice	71
720	Charly	46
720	Alice	48
720	Hero	51
719	Charly	68
719	Hero	78
719	Alice	85
722	Alice	55
722	Charly	56
722	Bob	56
723	Hero	42
723	Bob	43
723	Alice	44
721	Alice	75
721	Hero	76
721	Bob	83
724	Bob	40
724	Alice	40
724	Hero	41
725	Alice	31
725	Charly	41
725	Hero	46
726	Charly	47
726	Bob	63
726	Alice	71
729	Alice	30
729	Hero	36
729	Charly	37
728	Bob	38
728	Charly	39
728	Alice	45
727	Bob	47
727	Charly	50
727	Alice	102
731	Charly	46
731	Alice	47
731	Hero	48
732	Charly	41
732	Alice	42
732	Bob	60
733	Hero	39
733	Charly	44
733	Alice	46
734	Hero	42
734	Charly	46
734	Alice	68
736	Alice	41
736	Bob	43
736	Hero	45
738	Hero	48
738	Charly	52
738	Alice	58
737	Charly	55
737	Bob	57
737	Hero	111
739	Hero	36
739	Bob	39
739	Charly	57
742	Bob	26
742	Alice	35
742	Hero	37
741	Charly	48
741	Bob	59
741	Alice	60
744	Bob	70
744	Alice	72
744	Charly	81
747	Hero	28
747	Bob	33
747	Alice	33
746	Charly	53
746	Bob	63
746	Alice	123
748	Hero	67
748	Alice	70
748	Charly	75
752	Alice	16
752	Bob	17
752	Hero	17
749	Bob	38
749	Alice	43
749	Charly	62
754	Hero	22
754	Bob	28
754	Alice	46

753	Alice	34
753	Hero	46
753	Bob	64
755	Hero	31
755	Alice	32
755	Charly	34
756	Hero	34
756	Alice	45
756	Charly	50
757	Hero	73
757	Bob	75
757	Alice	103
759	Charly	34
759	Bob	35
759	Alice	62
760	Bob	35
760	Alice	37
760	Hero	50
763	Hero	50
763	Alice	55
763	Charly	55
758	Bob	122
758	Hero	209
765	Bob	20
765	Alice	36
765	Charly	39
762	Bob	60
762	Hero	107
762	Alice	157
767	Alice	44
767	Hero	46
767	Bob	52
769	Bob	50
769	Hero	57
769	Alice	72
772	Bob	109
772	Hero	136
772	Alice	189
775	Hero	22
775	Bob	24
775	Charly	28

778	Alice	91
778	Charly	92
778	Hero	94
776	Charly	120
776	Bob	167
776	Hero	176
782	Hero	31
782	Charly	32
782	Bob	38
781	Hero	15
781	Alice	27
781	Bob	48
779	Charly	74
779	Hero	78
779	Alice	79
780	Charly	55
780	Alice	59
780	Hero	69
783	Alice	44
783	Hero	50
783	Charly	54
790	Alice	55
790	Hero	62
790	Charly	66
788	Charly	57
788	Alice	81
788	Hero	150
791	Alice	40
791	Hero	42
791	Charly	51
794	Alice	24
794	Hero	26
794	Charly	28
793	Charly	47
793	Bob	63
793	Hero	64
792	Charly	65
792	Alice	71
792	Hero	71
796	Alice	30
796	Charly	34
796	Bob	35
797	Hero	36
797	Alice	52
797	Charly	57
798	Charly	44
798	Alice	58
798	Bob	66
799	Hero	35
799	Charly	37
799	Alice	49
800	Hero	40
800	Charly	51
800	Bob	54
802	Hero	36
802	Charly	38
802	Alice	44
804	Alice	39
804	Bob	43
804	Hero	58
803	Hero	57
803	Alice	67
803	Bob	73
806	Alice	30
806	Bob	64
806	Charly	96
807	Alice	66
807	Charly	78
807	Hero	87
808	Charly	33
808	Bob	44
808	Hero	51
809	Charly	46
809	Alice	60
809	Hero	60
812	Hero	47
812	Alice	48
812	Charly	55
813	Bob	25
813	Charly	37
813	Hero	44
819	Alice	52
819	Hero	66
819	Charly	69
821	Bob	34
821	Alice	49
821	Charly	84
823	Alice	41
823	Charly	45
823	Bob	53
822	Bob	64
822	Alice	71
822	Charly	117
815	Hero	678
827	Hero	27
827	Charly	50
827	Alice	83
826	Alice	72
826	Charly	80
826	Hero	85
829	Alice	34
829	Hero	41
829	Charly	44
830	Charly	33
830	Bob	34
830	Hero	54
831	Hero	37
831	Charly	43
831	Bob	55
832	Bob	57
832	Alice	59
832	Hero	63
833	Bob	42
833	Hero	42
833	Alice	44
835	Bob	44
835	Alice	48
835	Hero	90
838	Hero	50
838	Alice	50
838	Bob	53
839	Alice	43
839	Charly	46
839	Bob	54
840	Charly	28
840	Alice	35
840	Hero	46
842	Bob	29
